meloeiro	(fruta)
lição_de_casa	(trabalho_escolar)
presumir	(provar fazer_papel antecipar atuar agir comportar-se parecer evitar
          atestar)
adúltero	(depravado libertino)
dentista	(médico)
observação	(verdade medida percepção controle_social comentário facto
            mensuração medição observância vislumbre olhar olhada descrição
            declaração Descrição)
yobibyte	(unidade_de_memória_do_computador)
tramitar	(interagir)
camada_protectora_do_solo	(capa fronha)
anastomose	(ligação conjunção)
cooperativismo	(organização sociedade ordem união associação)
São_Pedro_e_São_Paulo	(feriado_religioso_cristão)
microcosmo	(exemplar exemplo)
projetar	(mostrar desenhar atribuir imputar esboçar apresentar)
pedra_preciosa	(cristal joalharia Joalheria jóia)
encarar	(confrontar virar-se ver estar virar olhar observar mirar defrontar
         enfrentar deparar_se)
projecção	(figura ilustração desenho imagem afiguração representação)
Medicamento_genérico	(produto_genérico sonífero produtos_farmacêuticos
                      medicamento narcótico entorpecente remédio droga)
excetuar	(eliminar extinguir)
rotação	(mudança)
membrana	(sistema_muscular musculatura placa chapa lousa)
Macropus_giganteus	(canguru Macropodidae)
ubre	(glândula_mamária Glândula_mamária)
Tantálio	(metal Metais metais)
retirar_se	(fatigar)
fontanela	(orifício)
metil	(Alquila)
disco	(círculo Círculos Gravação_e_reprodução_sonora placa forma_redonda)
Piloto_Automático	(ferramenta aparelho aparato mecanismo instrumento
                   dispositivo equipamento)
cota	(numeral_cardinal arrendamento_de_terras número atribuição alocação)
Circé	(mágico feiticeiro)
fervura	(temperatura aquecimento calor Temperatura temperatura_do_ar
         esquentamento evaporação vapor)
Enovelamento_de_proteínas	(processos_biológicos)
fitoterapia	(terapia Terapias)
marcha	(romaria caminhada treino Género_Musical progressão máquina mecanismo
        Gênero_Musical avanço procissão preparação)
talhante	(comerciante mercador negociante)
apontamento	(anotação nota comentário)
chacinar	(matar)
citar_erradamente	(citar)
arco_aórtico	(aorta)
atirador	(arqueiro)
3_de_Junho	(dia)
Ta'anit	(dia_de_jejum)
direção	(tendência gestão administração itinerários percurso estrada itinerário
         caminho rota linha)
fazer_careta	(transmitir comunicar)
vidro	(louça sólida sólido matéria_sólida)
astrofísica	(Astronomia astronomia)
raptor	(criminoso fora-de-lei)
analfabeto	(ignorante)
interruptor	(chave controlador)
autodeterminação	(discrição liberalismo autonomia)
vindima	(vinho)
ditar	(proclamar infligir gerir reger governar reinar transmitir comunicar
       impor)
laca	(produtos_de_origem_animal capa)
Mamão	(pomares Árvore_frutífera)
LCD	(display_alfanumérico terminal_de_vídeo_alfanumérico)
desalento	(desespero)
criatividade	(capacidade talento faculdade habilidade Criatividade)
Corvetas	(navio_de_guerra Navio_de_guerra Navios_de_guerra)
amarrotar	(mudar)
emagrecer	(tornar revoltar-se revoltar)
ser_conhecido	(relação ligação)
litotes	(figura_linguagem eufemismo Figuras_de_linguagem)
solipsismo	(Teorias_filosóficas)
demulsificar	(alterar mudar modificar)
tecer	(fabricar construir confeccionar)
Gravação_e_reprodução_sonora	(gravação Gravação)
atribuição	(arrendamento_de_terras bens ativos ativo recursos activos alocação)
necrológio	(anúncio aviso)
sapateira	(fazedor)
afiguração	(criação)
piano	(Instrumentos_com_teclas instrumento_de_teclas Instrumentos_de_percussão
       Instrumento_de_percussão instrumento_de_cordas)
inquérito	(questionamento Pesquisa Solução_de_problemas pergunta questão
           solicitação requerimento petição requisição pedido apelo pesquisa
           investigação)
Antiácido	(agente)
Cratera_vulcânica	(formação_geológica formação)
cómico	(intérprete)
ceraste	(vibora víbora cobra)
obliteração	(destruição devastação)
tripulação	(equipe companhia equipa time)
máquina_térmica	(máquina motor motores)
espelta	(trigo)
reverenciar	(amar prezar venerar respeitar)
hodômetro	(contador metro)
raiz	(forma_flexionada numeral_cardinal número lugar órgão)
Petrologia	(Geomorfologia morfologia geomorfologia)
Navios_de_cruzeiro	(transatlântico)
taxa_de_crescimento	(velocidade ritmo)
cativar	(atrair)
parque_público	(terreno região extensão)
apatita	(minérios matéria_mineral minerais mineral)
ignição	(combustão máquina mecanismo labareda chama fogo flama)
pingar	(baixar precipitar derramar entornar verter cair descer)
regador	(contêiner continente contentor caixa contentores jarro vaso vasilha)
ferro_fundido	(Ferro ferro)
desagregação	(espalhamento)
reportar-se	(dar_dica sugerir fazer_alusão_a aludir transmitir)
induzir	(convidar decidir efetuar inferir concluir chegar achar deduzir
         ocasionar produzir provocar receber)
instigação	(indução)
pedraria	(edifício tecido estrutura)
sebenta	(livro)
platina	(metal_nobre)
desgalhar	(crescer aumentar)
úbere	(glândula_mamária Glândula_mamária)
mel	(adoçantes adoçante)
herói	(personagem guardião líder papel chefe protetor tutor defensor guarda)
doença_de_Lyme	(Zoonoses zoonose)
demonstração_do_resultado_do_exercício	(extrato)
menta	(erva maconha)
dentina	(osso)
alternador	(gerador)
gula	(pecado_capital desejo)
desorientar	(confundir perplexar enrolar)
obrigar	(relacionar-se relacionar induzir constranger compelir forçar)
ataúde	(caixa)
oliguria	(sintoma)
variável_aleatória	(variável)
Socialites	(personagem)
Gavião	(ave_de_rapina aves_de_rapina)
andador	(estrutura infra)
desfraldar	(treinar instruir)
almofadinha	(varão macho homem)
Função_Exponencial	(função)
voto	(declaração garantia selecção escolha seleção)
vagão	(automotora automóvel comboio carro trem vagões)
aerar	(alterar mudar modificar)
bico	(boca)
Propriedade_química	(atributo)
músculo_liso	(músculo)
Socialite	(personagem)
seTswana	(sesotho)
Linfócito_t	(linfócito Linfócitos)
dizer_coisas_xulas	(reclamar lamentar)
indonésio	(asiático malaio asiática asiano)
ração	(atribuição)
Placodermos	(vertebrado_aquático)
responsabilização	(suscetibilidade susceptibilidade)
descrença	(dúvida objecto_mental incerteza)
códon	(sequência seqüência)
casa_de_penhores	(lojas loja)
Longa-metragem	(película filme cinema produção)
fundíbulo	(arma armamento)
simplicidade	(naturalidade)
Funambulismo	(esporte)
esmagar	(rebaixar prensar separar aviltar humilhar mortificar pressionar
         dividir desmoronar)
discurso	(faculdade acto_de_fala Atos_da_fala mensagem uma_comunicação
          comunicação comunicado talento)
Sintetizadores	(Instrumentos_com_teclas instrumento_de_teclas
                Instrumento_eletrônico Instrumentos_eletrônicos)
Cloretos	(haleto)
relação	(abstração entidade_abstrata idéia_abstrata ligação condição estado
         situação conexão relação_social)
raster	(formação)
pirralho	(salsicha)
Salto_ornamental	(nadada natação Natação)
Calçadeira	(ferramenta aparelho aparato mecanismo instrumento dispositivo
            equipamento)
desprender	(emita-se remover emitir retirar tirar)
trama	(pano têxteis fazenda tecido tecido_têxtil sistema organização estrutura
       ordem)
prefeito	(presidente_da_câmara autoridade_civil autarca
          presidente_da_câmara_municipal político)
noite_de_núpcias	(tarde noitada fim_de_tarde noite)
tormento	(sofrimento angústia Dor dor)
leite_de_chocolate	(chocolate)
head_shop	(lojas loja)
cercar	(rodear assaltar angustiar contornar afligir atacar)
detector_de_metais	(sensor)
molho	(pacote embalagem condimento)
_temperamento	(natureza índole)
asfaltar	(pavimentar cobrir revestir)
congratular	(experimentar sentir)
frontão	(Gablete empena)
Germânio	(elemento_químico)
Rodio	(metal Metais metais)
matrimónio	(estado_civil)
sobrepeso	(corpulência obesidade Obesidade)
manche	(alavanca Dispositivo_de_entrada controlador pé-de-cabra)
t'ai_chi	(artes_marciais)
zooplâncton	(animal criatura bicho ser besta)
prospecto	(catálogo)
agentes_cancerígenos	(substância)
assassinato	(assassínio homicídio_doloso conclusão termino homicídio)
desempenho	(ação ato atividade)
Escara	(crosta)
larva	(psiquê verme alma animal criatura bicho ser besta)
doença_das_vacas_loucas	(doenças_de_animais)
osso_esterno	(osso)
línguas_tungúsicas	(línguas_altaicas)
exsudar	(expelir)
serpe	(dragão trompete berimbau corneta trompa trombeta harpa_de_boca)
pressão_de_radiação	(pressão)
Noite_do_pijama	(acontecimento festa)
Album	(livros livro)
lídio	(Línguas_anatólias línguas_anatólias)
saque	(pilhagem agressão hostilidade)
Falcão-do-tanoeiro	(gavião acípitre Gavião)
Salto_de_esqui	(esqui Esqui)
apetrechar	(suprir fornecer prover abastecer)
dacito	(Rocha_vulcânica)
machimbombo	(transporte_público Transportes_públicos Transporte_publico
             transportes_públicos)
Broker	(empresário)
camundongo	(rato rato_do_computador mouse Mus ratazana roedores roedor)
fibra	(pano célula produtos_alimentares alimento materiais têxteis fazenda
       tecido tecido_têxtil)
genes	(sequência seqüência)
cuba	(vasilhame vasilha vaso)
Corpos_de_água	(coisa)
honestidade	(justiça moralidade moral virtude)
dietista	(louvado perito expert especialista experto)
liana	(videira cipó parreira)
Química_Nuclear	(química Quimica)
mentir	(enganar)
sabugo	(centro coração)
Taxa_mínima_de_atratividade	(finança)
Tridimita	(minérios matéria_mineral minerais mineral)
Corioretinite	(retinite)
agachar	(vergar estar_sentado sentar sentar-se dobrar curvar torcer)
detectar	(avistar divisar ver prestar_atenção dar_atenção)
diques	(obstáculo barreira)
mobilidade	(atributos qualidade)
luar	(luz)
viagem	(andar sonho jornada travessia ir caminhar viajar deslocamento movimento
        traslado)
lamentar	(magoar sentir_saudade festejar reclamar experimentar sentir_falta
          rejeitar recusar solenizar celebrar afligir-se sofrer sentir informar)
civil	(cidadã cidadão)
Sêmen	(Fluidos_corporais)
referendar	(confirmar)
Salas_de_concertos	(hall sala)
Andróide	(robô robot andróide autômato)
infectar	(causar sujar impressionar dar provocar comover afetar poluir
          contaminar)
suchi	(prato)
Quantificacao	(medida mensuração medição)
Stupa	(santário relicário Santuários santuário)
alceno	(Composto_alifático compostos_alifáticos)
aneurisma	(doença_cardiovascular)
informante	(trapaceiro)
produção	(apresentação criação espectáculo show produto bens acção ação ato
          feito indústria manufatura)
Bloqueador_beta_adrenérgico	(bloqueador)
consumação	(culminação conclusão finalização ação ato atividade)
lacrau	(aracnídeo Aracnideos aracnídeos)
vanguarda	(corpo)
confirmar	(jurar aprovar fortificar comunicar combinar deferir sancionar
           corroborar sustentar substanciar provar suportar afirmar concordar
           corresponder transmitir fortalecer)
mastaba	(sepultura túmulo tumba)
fragilidade	(Vulnerabilidade vulnerabilidade debilidade)
Doutrina_truman	(Política_Externa política_externa)
coragem	(denodo ânimo)
arrefecimento	(máquina mecanismo)
anemia_ferropriva	(Anemias anemia)
Dólar_jamaicano	(Dólar dólar)
Década_de_1820	(decênio década)
superordem	(táxon taxon taxón Taxon)
Alabama	(Sul)
esqui	(esporte)
teatro_de_sombras	(espectáculo show)
adversário	(contendor alma indivíduo ser_humano alguém pessoa)
certificado	(documentação documentos documento negócio_jurídico)
mixto	(trem comboio locomotivas caminhos-de-ferro)
carvão	(pintura Instrumentos_de_escrita fragmento carbono petróleo
        combustível_fóssil figura desenho imagem ilustração carburante
        combustível material_com_que_se_aquece)
Piolho_do_púbis	(piolho sem-vergonha)
raposa-cinzenta	(matreiro raposa-vermelha Raposa raposa)
capital_de_estado	(urbe centro_urbano município metrópole cidade capital
                   Capital)
liga_metálica	(impureza)
Frisbee	(Brinquedos brinquedo disco_magnético disco)
roldana	(máquina_simples máquina)
Prazosin	(anti-hipertensivo)
Palpitação	(sintoma)
Arteria	(vaso_sanguíneo Vaso_sanguíneo Vaso_sangüíneo)
depuração	(limpada limpeza)
símio	(primata primatas)
condutora	(condutor)
entulho	(resíduos lixo cama_de_feno_para_animais cama_de_palha_para_animais
         detritos_residuais resíduos_sólidos veículos_abandonados)
Doce_de_fruta	(conservas)
agrilhoar	(confinar reter)
Tetano	(infecção infeção)
injecção	(gesto sinal)
igreja	(instituto instituição Lugares_de_prática_religiosa casadeoração templo
        prédio edifício igrejas)
viajar_de_avião	(controlar operar)
suporte	(apoio base ferramenta aparelho aparato mecanismo instrumento
         dispositivo equipamento auxílio ajuda assistência socorro ocupação
         atividade encosto)
epidemia	(ocorrência evento acontecimento erupção deflagração surto Surto
          explosão)
bloco_de_notas	(bloco)
Asparagina	(aminoácido Aminoácidos aminoácidos Amino-ácido)
cachaça_na_ressaca	(bebida)
cardigã	(camisola suéter pulôver agasalho)
Folha_de_pagamento	(departamento Departamento)
inuítes	(pele_vermelha índia indígena índio)
fincar	(bater_repetidamente bater)
citação	(mandato entrega Intimação apontamento anotação nota excerto extrato
         passagem trecho mandado)
livro-caixa	(registro)
anapsida	(répteis réptil)
direito_divino_dos_reis	(doutrina_(direito) doutrina filosofia)
Linguística_computacional	(Lingüistica Linguistica linguística Lingüística
                           lingüística)
Bege	(chá_branco)
madrinha	(fiador Patrocinio padrinho)
encorajar	(induzir empolgar animar incentivar inspirar exaltar apoiar ajudar
           alentar)
punição	(controle_social penalidade castigo penalização)
cuckold	(esposo cônjuge varão marido homem)
festejar	(celebrar)
európio	(metal Metais metais)
reformar	(aperfeiçoar modelar influenciar alterar determinar melhorar moldar
          formar mudar modificar)
numeral	(símbolo Simbolo Símbolos aceno emblema sinal)
Bulldog_francês	(buldogue)
branco	(varão macho homem caucasiano caucasiana alma indivíduo ser_humano
        alguém pessoa)
tromboflebite	(flebite Flebite)
embrulhar	(embalar cobrir tampar)
herbívoro	(animal criatura bicho ser besta)
entardecer	(fenômeno_atmosférico)
heterossexual	(alma indivíduo ser_humano alguém pessoa)
rocio	(condensação)
vitória_de_Pirro	(vitória)
Modernismo	(hábito costume)
libanês	(asiático asiática asiano)
éster	(composto_orgânico substâncias_orgânicas Compostos_orgânicos
       Composto_orgânico matéria_orgânica)
Serviço_Nacional_de_Meteorologia_dos_Estados_Unidos	(instituição_pública
                                                     Governo
                                                     agência_governamental
                                                     agência escritório)
azul_celeste	(azul)
assobio	(som ruído)
uretrite	(Infecção_do_trato_urinário)
abdome	(Anatomia parte_do_corpo)
hubris	(arrogância elevado-high-handedness orgulho)
enjeitar	(declarar_falso contradizer negar)
Volta_fiel	(Nó nodo Nós nó)
suco_de_limão	(seiva sumo suco)
arcebispo	(bispo Bispos Bispo_da_Igreja_Católica)
Píxel	(componente parte)
pescoço	(parte_traseira rabo traseiro)
freqüentar	(visitar viajar)
fogo_amigo	(tiro)
segundo_plano	(conhecimento informação)
subverter	(destroçar alterar mudar modificar arruinar destruir estraçalhar
           detonar)
Organizações_internacionais	(coligação coalizão aliança)
Delação_Premiada	(fonte)
constituintes	(comunidade grupo)
Açai	(palmeira palma)
monólogo	(idioma)
guarda_pretoriana	(guarda-costas)
boxar	(debater-se lutar brigar)
micélio	(parte componentes_das_plantas fragmento)
Adolescência	(época período)
Coleção	(raridade curiosidade)
moradia	(casa abrigo alojamento)
Moréia	(enguia Anguilliformes)
Veia_jugular_externa	(Veia_jugular)
Folha-de-flandres	(revestimento)
sagui	(Platyrrhini)
leitor_de_mapas	(leitor)
goma	(implemento instrumento ferramenta)
excruciar	(lesionar lesar machucar ferir angustiar doer)
fogo_posto	(combustão)
passeio_aleatório	(Processos_estocásticos processo_estocástico)
artropatia	(doença patologia)
calcinha	(cuecas ceroulas calças)
musculatura	(sistema)
guarda-redes	(jogador jogador_de_futebol futebolista)
frivolidade	(peculiaridade feição)
colocar_um_título	(suprir fornecer prover abastecer)
infusão	(chá)
cataloged_procedure	(subrotina sub-rotina Sub-rotina função)
sistema_monetário	(critério padrões)
descansar	(estar_situado jazer estar_deitado)
rancor	(aversão ressentimento repulsa inimizade hostilidade)
protozoário	(prototista protoctista filo Filo)
Honestidade	(justiça honestidade)
Aditivos_alimentares	(aditivos)
tirar_a_fralda_(de_uma_criança)_	(treinar instruir)
atalho	(estradas caminho estrada autoestradas rodovia via)
amianto	(anfíbola)
escansão	(métrica garçon garçom empregado_de_mesa Garçom garçonete)
Festividades_religiosas	(festividade)
Vinho_de_Bordeaux	(vinho)
juntar_se	(reunir unificar)
colocar_de_forma_bem_apertada	(prender fixar)
Lutecio	(metal Metais metais)
deferir	(autorizar permitir)
fiduciário	(alma indivíduo ser_humano alguém pessoa)
tornar_feminino	(interagir)
acender_cigarro	(acender)
galgo	(corredor)
valência	(poder)
sossegar	(enfraquecer tranqüilizar tranquilizar acalmar silenciar)
Gambá-comum	(saragüéia cuíca Didelphidae gambá sarigueia Didelphimorphia
             didelfo timbu seringüê)
comprar_rapidamente	(tomar adoptar)
anticoagulante	(droga_medicional droga_medicinal remédio medicamento
                produtos_farmacêuticos)
portar-se_bem	(atuar agir fazer)
etrusco	(italiano ítalo italiana itálico)
Insecticidas	(pesticidas Pesticidas pesticida)
Radar_doppler	(radar)
hecatombe	(sacrifício sacrificio)
Mordaça	(restrição limitação)
náusea	(sintoma aversão)
musicologia	(ciências_humanas Artes_Liberais artes_liberais)
Fluido_de_perfuração	(lubrificante lubrificantes)
abalo	(sentimento emoção impressão)
meninges	(membrana)
Veia_facial_comum	(Veias veia)
sex	(sentimento emoção impressão)
Osso_esfenóide	(osso)
causar_impressão	(impressionar comover afetar)
anfíbola	(minérios matéria_mineral minerais mineral)
contas	(extrato)
terminal_de_autocarros	(estação)
nome_comercial	(antenome nome nome_próprio nome_de_batismo primeiro_nome
                prenome)
japonês	(línguas_altaicas asiático asiática asiano)
cosmonauta	(turista viajante)
microlete	(transporte_público Transportes_públicos Transporte_publico
           transportes_públicos)
Indri_indri	(lémure lêmure)
permanência	(espaço_temporal duração tempo acção ação ato feito)
purificação	(atividade limpada limpeza)
espuma_de_sabão	(espuma)
papo	(discussão discurso)
superintendente	(supervisor)
soar	(anunciar fazer ressoar mostrar tocar)
investigação	(Pesquisa buscar Solução_de_problemas procurar tarefa trabalho
              pesquisa inquérito)
morrer	(desesperar experimentar desaparecer sofrer parar desejar_fortemente
        desmoronar sentir sumir mudar alterar bater_as_botas perecer falecer
        ansiar_por tornar revoltar-se revoltar)
condutas	(cano chaminés_de_fábrica tubo pipeline cachimbo canais ducto aqueduto
          duto canal conduto)
camião	(camiões Camiões caminhão veículos_motorizados)
Artralgia	(cefaleia dor dor_de_cabeça)
fóssil	(idoso velho resto)
Bóson_de_calibre	(Bósons bóson bosão)
estepe	(planície campanha)
timbu	(marsupiais Marsupialia Marsupiais)
peregrinação	(jornada travessia viagem)
Ununtrio	(elemento_químico)
hostilizar	(atuar agir fazer)
toxicologia	(Farmacologia farmacologia)
auge	(nível período etapa tempo grau ápice fase)
barbacã	(Torres torre roque)
gay	(alma indivíduo ser_humano alguém pessoa)
Transporte_aéreo_tático	(transferência transporte)
Mata_Ciliar	(selva arvoredo floresta mata bosque florestas)
compósito	(materiais)
capar	(castrar emascular esterilizar)
generalidade	(opinião ideia conceito pensamento idéia atributos qualidade)
Atopia	(alergia)
Cravo	(cravo)
Organização_do_tratado_do_atlântico_norte	(Organizações_internacionais
                                           Organização_internacional)
ununpêntio	(elemento_químico)
Copa_do_Mundo	(torneio)
Aditya	(Deuses_hindus)
Campo_gravitacional	(campo_de_força campo)
regimento	(corpo)
seca	(secas período etapa tempo aridez secura)
Cistite	(Infecção_do_trato_urinário)
Ilhotas_de_langerhans	(glândula_endócrina)
contra-senha	(arcano segredo)
Calendário_hindu	(calendário_lunissolar)
abarcar	(conter incluir)
Arquitetura_da_Grécia	(Arquitetura_classica Arquitetura_clássica
                       Arquitectura_clássica)
acácia	(madeira árvore)
toga	(capa manto)
teoria_dos_conjuntos	(matemática_pura)
pistão	(aparelho_mecânico)
Dinastia_Ptolemaica	(Dinastias dinastia)
ceticismo	(descrença)
sindicalismo	(Movimentos_políticos)
trompa	(Metais metais)
mesmerismo	(efeito)
Ácido_docosa-hexaenóico	(Omega-3 Omega_3 Ómega_3 Ômega-3 Ômega_3 Omêga3)
triazina	(composto_químico Compostos_químicos substância_química
          Composto_químico)
Menchevique	(socialista)
Peróxido_de_Hidrogênio	(comburente agentes_oxidantes)
Tiramina	(aminoácido Aminoácidos aminoácidos Amino-ácido)
Prémio	(símbolo Simbolo Símbolos aceno emblema sinal)
enseada	(golfo_estreito massa_de_água oceano água Corpos_de_água corpo_de_água
         desfiladeiro fiorde baia_pequena baía)
senegalês	(africano)
obedecer	(adaptar-se adequar-se ajustar)
Teoria-M	(teoria)
afloramento	(rocha pedra)
reservas	(descrição distrito_administrativo divisão_territorial
          divisão_administrativa declaração Descrição)
liberal	(terceira_idade adulto de_maior)
Nota_de_risco	(_estimativa ideia _aproximação)
Insetívoro	(animal criatura bicho ser besta)
adjudicar	(provocar dar causar)
popularidade	(atributos qualidade)
caixa_dois	(capital fundo)
trabalho_manual	(obra trabalho)
replantar	(envasar colocar plantar pôr)
Labrador_retriever	(retriever)
mendelévio	(elemento_químico)
Arterite_de_takayasu	(arterite Arterite)
efeméride	(anuário dia)
parteira	(Enfermeiros enfermeiro enfermeira ama-seca aia)
ciclope	(gigante copépode)
Dioptria	(Medição unidade_de_medida unidade Medida)
Parasol	(anexo)
lucrar	(ganhar receber obter comprar atingir adquirir beneficiar)
inspeção	(reunião teste inspecção encontro inspecionar examinar)
bagatela	(ninharia minúcia objeto_físico objeto)
Cloreto_de_Amónio	(sal sais)
Gerbillinae	(roedores roedor)
transpor	(virar virar_do_avesso inverter reverter)
Radiação	(energia)
reparação_(legal)	(correção retificação)
cricrilar	(emitir soltar)
agrupação	(abstração entidade_abstrata idéia_abstrata)
ventar_fortemente	(ventar soprar)
intranet	(rede Rede_de_Computadores rede_de_computadores)
queimadura_de_primeiro_grau	(queimadura)
Torá	(rolo pergaminho)
misterio	(embaraço aperto perplexidade)
declive	(ladeira formação_geológica formação declives encosta subida costa)
contrastar	(separar ser_diferente diferenciar distinguir)
brotação	(ontogénese ontogenia crescimento)
solidão	(_temperamento tristeza incomunicação disposição isolamento pesar)
alto-alemão_médio	(alemão língua_alemã)
Delfim-comum	(delfim Delphinidae boto golfinho)
tecnologia_das_comunicações	(engenharia tecnologia)
excursão	(jornada viagem)
ruterfórdio	(elemento_químico)
identidade_de_gênero	(personalidade identidade)
g	(caracter letra caractér carácter)
incineração	(combustão)
eleição_primária	(eleição)
furo_jornalístico	(relato história artigo)
papel_de_parede	(papel Papel carta)
mapa	(figura ilustração desenho imagem afiguração representação)
Tubo_de_torpedo	(cano canal duto ducto chaminés_de_fábrica condutas conduto
                 tubo pipeline cachimbo canais)
som_puro	(som)
Tatuagem	(ornamento)
landegrave	(conde)
boutique	(lojas loja)
despertador	(Relógios relógio pulso_de_disparo)
frase_preposicional	(sintagma frase)
apiedar	(magoar afligir-se sofrer)
Amarra	(fio linha corda)
Maxilar	(mandíbula)
santa	(deidade Deus deus divindade divinidade deusa Deidades)
esquerda	(mão seita posição facção local lugar)
desligar	(ligar tornar revoltar-se revoltar)
conservador	(terceira_idade adulto de_maior)
furosemida	(Diuréticos diurético Diurético)
Trolebus	(ônibus machimbombo microlete otocarro autocarro toca-toca)
mina	(moça garota rapariga mulher senhorita buracos_escavados)
Dance_music	(música)
amortização	(redução pagamento diminuição)
fenótipo	(constituição composição estrutura)
Saltério	(missal)
dicionário_bilíngüe	(Dicionários dicionário array_associativo Dicionario
                     vocabulário léxico)
transfigurar	(alterar virar mudar modificar virar_do_avesso inverter reverter)
Indígenas_dos_Estados_Unidos	(alma indivíduo ser_humano alguém pessoa)
Hidrovia	(massa_de_água oceano água Corpos_de_água corpo_de_água)
tecla_enter	(tecla)
interiorizar	(atribuir imputar)
Omeprazol	(Antiácido)
calamidade	(acidente azar má_sorte infortúnio)
avariar	(danificar alterar mudar modificar)
Fuga	(Música_Clássica Música_Erudita)
lagunas	(lago)
sashimi	(prato)
genocídio	(homicídio assassinato morte)
lua-de-mel	(período dia_de_folga féria sueto férias feria etapa tempo)
Kaiser	(imperador)
digrafo	(caracter letra caractér carácter)
Natureza	(mundo cosmo universo natureza criação Universo)
um	(dígito número algarismo)
Zantedeschia_aethiopica	(flor)
morrinha	(doenças_de_animais)
histamina	(Aminas amina)
Nitreto_de_magnésio	(nitreto Nitreto)
batista	(pano têxteis fazenda tecido tecido_têxtil)
fixar_o_olhar	(ver olhar observar mirar)
Fio_têxtil	(corda)
ponto_quente	(lugar região área_geográfica região_geográfica)
coar	(separar selecionar escolher dividir)
capitânia	(barco navios embarcação navio)
celha	(cabelo pêlo pelo Pelos Pêlo)
Ciências_físicas	(ciência ciências_naturais ciências_físicas)
processamento	(processos_físicos)
subscrever	(concordar redigir escrever acordar)
limite	(inspeção limitação reta extensão teste alcance inspecção fronteiras
        extremidade fronteira borda margem_interior)
Carbeto_de_silício	(carbeto Carbetos)
abortação	(conclusão termino)
projectar	(mostrar apresentar)
promover	(sugerir delegar elogiar louvar apoiar ajudar propor)
língua_copta	(língua_egípcia Língua_egípcia egípcio)
esterilização_(processo)	(limpada limpeza)
combatente	(alma indivíduo ser_humano alguém pessoa)
vinda	(chegada chegar_la-metaforicamente ação ato atividade)
Forno_crematório	(fornalhas fornalha forno fogão)
Narguile	(cachimbo)
Veia_renal	(Veias veia)
lar	(prosedensia Ambiente raiz manancial nascente procedência fonte casa abrigo
     alojamento aposento moradia habitação morada residência domicílio ambiente)
ablativo	(caso_oblíquo)
lenhador	(obreiro trabalhador operário)
machucar	(indispor contundir causar_dor avariar lesionar doer aleijar danificar
          confundir perturbar lesar ferir)
porcaria	(Fezes merda fezes)
tijolo	(cerâmica materiais_de_construção Materiais_de_construção)
maometismo	(civilização)
arganaz	(roedores roedor)
motor_de_combustão	(máquina_térmica)
mansão	(casa edifício_residencial habitação vivenda)
Aerodinâmica	(Mecânica mecânica)
inflorescência	(flor floração Flores florada flores)
réptil	(vertebrado)
galeirão-americano	(galeirão)
usina_eólica	(Usina central_eléctrica Usinas_de_energia usina)
baratear	(piorar exacerbar agravar)
provisionar	(entregar dar)
algarismo	(número numeral Número_inteiro inteiro)
Dachshund	(cão_de_caça)
dicromato_de_potássio	(sal sais)
Dinastia_Han	(Dinastias dinastia)
ministração	(remédio)
colocar_em_ordem_alfabética	(arranjar dispor)
pré-molar	(dente Dentes)
lábio_leporino	(Doença_congênita Doença_congénita Doenças_congénitas)
canário	(tentilhão)
TCP_IP	(protocolo)
fissão_nuclear	(reação_nuclear reacções_nucleares reacção_nuclear)
justificação	(explanação consideração exoneração justificativa circunstância
              explicação)
Politeísmo	(teísmo Teísmo)
atrazina	(herbicida herbicidas Herbicidas)
merecer	(estar ser)
conseguimento	(chegar_la-metaforicamente)
Queda_Livre	(queda)
xenônio	(gás_nobre Gas_nobre elemento_químico)
camarilha	(grupo círculo ordem)
Bachelor_of_Arts	(bacharelado Cursos_universitários Bacharelato)
cônsul	(diplomata embaixador)
proliferação	(ontogénese ontogenia crescimento acréscimo aumento incremento)
caso_estudo	(análise)
gear	(cair precipitar)
potencialidade	(abilidade habilidade capacidade)
medicina	(ciências_da_vida)
agrupar-se	(classificar)
crocitar	(emitir soltar)
combinação	(sequência roupa_de_baixo cáculo operação seqüência montão colecção
            ruma chusma coleção grupo acúmulo aglomeração)
velejar	(andar viajar)
combustível_nuclear	(carburante combustível material_com_que_se_aquece)
ferraria	(trabalho laboratório locais_de_trabalho oficina emprego)
babador	(guardanapo)
Boxing_day	(feriado_nacional)
trote	(astúcia andar sacanagem travessura gozação artimanha recreaçao diversão)
Citas	(nómadas Povo_nómade Povo_nômade nômade nomadismo nómada)
enfrentar	(começar)
gentrificar	(restaurar renovar)
galgar	(ascender subir)
lagosta	(Nephropidae)
diminuendo	(numeral_cardinal número)
beira	(fronteira limitação limite borda costa margem praia litoral ribanceira
       orla)
gatinho	(gato_doméstico)
padrão	(intercorrência critério opção escolha eleição alternativa padrões)
km/h	(velocidade ritmo)
liquefazer	(mudar)
empacotar	(encaixotar selar vedar cobrir tampar)
assolar	(destroçar arruinar destruir estraçalhar detonar)
estabelecer_se	(estabilizar-se)
Cannabis_sativa	(cânhamo maconha)
legalização	(ação_em_grupo)
discalculia	(Transtornos_de_aprendizagem dificuldades_de_aprendizagem)
Uísques	(bebida_alcoólica álcool)
rede_sem_fio	(telecomunicações telecomunicação)
auto-ajuda	(auxílio ajuda assistência socorro)
Sombra_de_chuva	(ambiente região território)
Xintoísmo	(religião Crença_religiosa fé)
